iter	Passed	Remaining
0	221	221657
1	223	111663
2	225	74923
3	227	56577
4	229	45608
5	230	38233
6	232	33015
7	234	29119
8	236	26082
9	238	23634
10	240	21600
11	241	19923
12	243	18492
13	244	17254
14	246	16175
15	247	15236
16	249	14435
17	251	13711
18	252	13040
19	254	12448
20	255	11921
21	257	11447
22	259	11011
23	261	10627
24	263	10269
25	265	9935
26	267	9634
27	269	9368
28	272	9110
29	274	8864
30	276	8630
31	278	8425
32	280	8212
33	282	8035
34	285	7882
35	287	7706
36	289	7544
37	291	7384
38	293	7231
39	295	7089
40	297	6959
41	299	6822
42	300	6698
43	302	6579
44	304	6464
45	306	6353
46	308	6251
47	310	6152
48	312	6059
49	314	5969
50	315	5879
51	317	5795
52	319	5709
53	321	5629
54	323	5559
55	325	5480
56	326	5404
57	328	5329
58	329	5257
59	333	5218
60	335	5161
61	337	5100
62	338	5040
63	340	4984
64	342	4927
65	344	4870
66	345	4816
67	346	4751
68	348	4705
69	350	4656
70	352	4609
71	354	4563
72	355	4517
73	357	4478
74	359	4437
75	361	4397
76	363	4352
77	364	4309
78	366	4268
79	368	4235
80	369	4192
81	371	4154
82	374	4140
83	376	4104
84	377	4061
85	378	4025
86	379	3985
87	381	3950
88	382	3915
89	383	3882
90	385	3850
91	388	3831
92	389	3800
93	391	3769
94	392	3738
95	393	3709
96	395	3680
97	396	3651
98	398	3623
99	401	3614
100	403	3593
101	404	3562
102	406	3540
103	408	3517
104	410	3498
105	412	3476
106	414	3458
107	417	3445
108	419	3427
109	421	3408
110	423	3390
111	425	3371
112	426	3350
113	429	3337
114	431	3320
115	432	3296
116	434	3275
117	436	3260
118	437	3240
119	439	3224
120	441	3207
121	445	3206
122	446	3182
123	448	3166
124	449	3148
125	451	3132
126	453	3114
127	453	3092
128	455	3077
129	458	3066
130	460	3053
131	462	3040
132	464	3026
133	465	3011
134	467	2997
135	471	2992
136	472	2976
137	473	2960
138	475	2946
139	477	2931
140	478	2917
141	480	2903
142	482	2890
143	485	2887
144	487	2873
145	488	2859
146	491	2852
147	493	2840
148	495	2827
149	496	2814
150	498	2804
151	500	2793
152	502	2781
153	504	2770
154	505	2756
155	507	2745
156	509	2733
157	510	2722
158	513	2717
159	515	2706
160	517	2694
161	518	2683
162	520	2671
163	522	2662
164	524	2653
165	528	2654
166	529	2642
167	531	2631
168	533	2621
169	534	2610
170	536	2599
