iter	Passed	Remaining
0	1	1671
1	4	2333
2	7	2419
3	8	2207
4	10	2082
5	12	2009
6	13	1956
7	16	2102
8	19	2133
9	20	2067
10	22	2011
11	24	1977
12	25	1940
13	26	1896
14	29	1945
15	31	1963
16	33	1944
17	35	1920
18	36	1903
19	38	1880
20	39	1858
21	41	1862
22	44	1906
23	46	1885
24	47	1871
25	49	1854
26	51	1840
27	52	1823
28	53	1807
29	58	1880
30	59	1865
31	61	1848
32	62	1834
33	64	1820
34	65	1807
35	66	1791
36	68	1773
37	70	1793
38	72	1794
39	74	1780
40	75	1763
41	76	1747
42	77	1734
43	79	1722
44	80	1712
45	82	1702
46	84	1716
47	86	1715
48	87	1704
49	89	1694
50	91	1696
51	92	1684
52	93	1675
53	95	1666
54	96	1656
55	99	1670
56	100	1662
57	101	1653
58	103	1645
59	104	1635
60	105	1629
61	107	1622
62	108	1614
63	109	1606
64	111	1610
65	114	1616
66	115	1612
67	117	1607
68	118	1601
69	120	1594
70	121	1590
71	123	1586
72	124	1586
73	127	1590
74	128	1584
75	129	1578
76	131	1572
77	132	1566
78	133	1560
79	135	1555
80	136	1550
81	138	1549
82	139	1546
83	141	1541
84	142	1536
85	144	1533
86	145	1528
87	147	1524
88	148	1519
89	149	1514
90	151	1509
91	153	1511
92	154	1509
93	156	1504
94	157	1500
95	158	1497
96	160	1492
97	161	1488
98	163	1484
99	164	1481
100	167	1490
101	168	1487
102	170	1483
103	171	1480
104	173	1475
105	174	1471
106	175	1467
107	177	1463
108	178	1458
109	180	1463
110	182	1459
111	183	1457
112	185	1455
113	186	1451
114	188	1448
115	189	1445
116	190	1439
117	192	1436
118	194	1437
119	195	1437
120	197	1433
121	198	1429
122	200	1427
123	201	1423
124	202	1420
125	204	1416
126	205	1411
127	209	1423
128	210	1421
129	211	1417
130	213	1413
131	214	1409
132	215	1406
133	217	1404
134	218	1403
135	222	1415
136	224	1412
137	225	1409
138	226	1406
139	228	1404
140	230	1403
141	231	1399
142	233	1399
143	237	1409
144	238	1406
145	239	1401
146	240	1397
147	242	1394
148	243	1392
149	245	1389
150	246	1386
151	247	1382
152	250	1385
153	251	1381
154	252	1377
155	254	1374
156	255	1371
157	256	1368
158	258	1365
159	259	1363
160	260	1357
161	262	1356
162	264	1356
163	265	1354
164	267	1351
165	268	1349
166	269	1346
167	271	1344
168	272	1341
169	274	1338
170	275	1336
171	277	1336
172	279	1335
173	281	1333
174	282	1331
175	283	1329
176	285	1327
177	287	1325
178	288	1322
179	290	1324
180	292	1324
181	294	1322
182	295	1320
183	297	1318
184	298	1315
185	300	1314
186	301	1310
187	303	1309
188	305	1310
189	306	1308
190	308	1306
191	310	1307
192	312	1305
193	313	1303
194	315	1301
195	317	1300
196	319	1301
197	320	1299
198	325	1310
199	328	1312
200	330	1314
201	334	1322
202	337	1325
203	340	1328
204	342	1328
205	344	1327
206	346	1328
207	348	1328
208	350	1326
209	352	1324
210	353	1323
211	355	1321
212	356	1318
213	359	1319
214	361	1321
215	363	1319
216	365	1318
217	367	1317
218	368	1314
219	370	1311
220	371	1309
221	374	1312
222	375	1309
223	377	1307
224	379	1305
225	380	1303
226	381	1300
227	383	1296
228	384	1294
229	386	1293
230	387	1291
231	389	1288
232	390	1286
233	392	1284
234	393	1281
235	394	1278
236	396	1275
237	397	1272
238	399	1272
239	402	1273
240	404	1272
241	405	1270
242	407	1268
243	408	1265
244	410	1263
245	411	1261
246	415	1266
247	417	1266
248	419	1264
249	421	1263
250	423	1262
251	424	1260
252	426	1257
253	429	1260
254	430	1258
255	432	1256
256	434	1254
257	435	1252
258	437	1250
259	438	1248
260	441	1250
261	443	1249
262	445	1247
263	446	1244
264	447	1242
265	449	1240
266	450	1237
267	452	1236
268	455	1237
269	456	1235
270	458	1232
271	459	1229
272	461	1227
273	462	1225
274	463	1222
275	465	1219
276	466	1217
277	469	1218
278	471	1217
279	472	1215
280	474	1215
281	477	1215
282	478	1213
283	480	1211
284	483	1213
285	485	1211
286	486	1209
287	488	1208
288	490	1207
289	492	1204
290	493	1202
291	496	1204
292	499	1204
293	500	1203
294	502	1200
295	504	1199
296	505	1196
297	506	1193
298	508	1191
299	510	1192
300	512	1190
301	514	1188
302	515	1186
303	517	1184
304	518	1182
305	520	1180
306	521	1177
307	524	1178
308	526	1176
309	527	1174
310	528	1171
311	530	1169
312	531	1167
313	533	1165
314	534	1163
315	536	1160
316	538	1160
317	540	1158
318	541	1156
319	543	1153
320	544	1151
321	546	1149
322	547	1147
323	548	1144
324	550	1142
325	552	1142
326	553	1139
327	555	1137
328	556	1135
329	558	1132
330	559	1130
331	560	1128
332	562	1125
333	563	1123
334	566	1124
335	567	1122
336	569	1120
337	570	1117
338	572	1115
339	573	1113
340	574	1111
341	576	1109
342	579	1110
343	581	1108
344	582	1106
345	584	1104
346	585	1102
347	586	1099
348	588	1097
349	590	1095
350	592	1095
351	594	1093
352	595	1091
353	596	1089
354	598	1087
355	600	1085
356	601	1083
357	602	1080
358	603	1078
359	606	1078
360	608	1077
361	610	1075
362	611	1073
363	613	1072
364	615	1070
365	616	1068
366	618	1067
367	621	1067
368	623	1065
369	624	1063
370	626	1061
371	627	1059
372	628	1057
373	630	1055
374	631	1052
375	634	1052
376	635	1050
377	636	1047
378	638	1045
379	639	1043
380	640	1041
381	642	1039
382	643	1036
383	644	1034
384	647	1033
385	648	1032
386	650	1030
387	651	1028
388	653	1025
389	654	1024
390	656	1021
391	657	1019
392	660	1019
393	662	1018
394	663	1016
395	665	1015
396	667	1013
397	668	1011
398	670	1009
399	671	1007
400	673	1005
401	675	1004
402	676	1002
403	678	1000
404	679	998
405	681	996
406	682	994
407	683	991
408	685	990
409	687	988
410	689	987
411	690	985
412	692	983
413	693	981
414	695	979
415	696	977
416	698	975
417	699	973
418	701	973
419	703	971
420	705	969
421	706	967
422	707	965
423	709	963
424	710	961
425	711	959
426	713	957
427	716	957
428	718	955
429	719	953
430	720	951
431	721	949
432	723	947
433	724	945
434	725	942
435	728	942
436	730	941
437	732	939
438	733	937
439	735	936
440	737	934
441	738	932
442	740	930
443	743	930
444	745	929
445	747	928
446	749	927
447	751	926
448	753	924
449	755	923
450	757	922
451	759	920
452	760	918
453	762	916
454	763	914
455	765	913
456	767	911
457	768	909
458	771	908
459	772	907
460	776	907
461	777	905
462	779	903
463	782	904
464	785	904
465	787	902
466	789	901
467	791	899
468	792	897
469	794	895
470	798	896
471	800	895
472	802	893
473	803	891
474	805	889
475	806	887
476	807	885
477	809	883
478	811	882
479	813	880
480	814	878
481	815	876
482	817	874
483	818	872
484	819	870
485	821	868
486	822	866
487	826	867
488	827	865
489	829	863
490	830	861
491	832	859
492	833	857
493	835	855
494	837	854
495	839	853
496	840	850
497	841	848
498	843	846
499	844	844
500	846	842
501	848	841
502	849	839
503	851	837
504	853	836
505	854	834
506	856	832
507	857	830
508	859	828
509	860	827
510	862	825
511	864	823
512	867	823
513	868	821
514	870	819
515	871	817
516	873	815
517	874	814
518	876	812
519	877	810
520	879	808
521	881	807
522	883	805
523	884	803
524	886	801
525	887	799
526	888	797
527	890	795
528	892	795
529	894	793
530	896	791
531	897	789
532	898	787
533	900	785
534	901	783
535	902	781
536	904	779
537	907	779
538	909	777
539	910	775
540	911	773
541	912	771
542	914	769
543	915	767
544	916	765
545	918	763
546	920	761
547	921	760
548	923	758
549	924	756
550	925	754
551	927	752
552	928	750
553	930	748
554	931	747
555	934	745
556	935	744
557	937	742
558	938	740
559	940	738
560	941	737
561	943	735
562	944	733
563	946	731
564	949	730
565	951	729
566	952	727
567	954	725
568	955	723
569	956	721
570	958	720
571	959	718
572	962	717
573	964	715
574	965	713
575	966	711
576	968	709
577	969	707
578	970	705
579	972	703
580	973	702
581	976	701
582	977	699
583	979	697
584	980	695
585	981	693
586	983	691
587	984	689
588	985	687
589	987	686
590	990	685
591	991	683
592	993	681
593	994	679
594	996	678
595	998	676
596	999	674
597	1001	673
598	1003	671
599	1004	669
600	1006	668
601	1007	666
602	1009	664
603	1010	662
604	1012	660
605	1013	658
606	1015	657
607	1017	656
608	1019	654
609	1020	652
610	1022	650
611	1023	648
612	1024	646
613	1026	645
614	1027	643
615	1030	642
616	1032	640
617	1033	638
618	1034	636
619	1036	635
620	1037	633
621	1038	631
622	1040	629
623	1042	627
624	1044	626
625	1046	625
626	1047	623
627	1049	621
628	1050	619
629	1052	617
630	1053	616
631	1055	614
632	1058	613
633	1060	612
634	1061	610
635	1062	608
636	1064	606
637	1065	604
638	1067	602
639	1068	601
640	1070	599
641	1072	598
642	1074	596
643	1076	595
644	1077	593
645	1079	591
646	1080	589
647	1081	587
648	1083	585
649	1086	584
650	1087	582
651	1088	581
652	1090	579
653	1091	577
654	1093	575
655	1094	573
656	1096	572
657	1098	570
658	1100	569
659	1101	567
660	1103	565
661	1104	564
662	1106	562
663	1107	560
664	1109	558
665	1110	556
666	1114	556
667	1115	554
668	1116	552
669	1118	550
670	1119	548
671	1120	547
672	1122	545
673	1123	543
674	1126	542
675	1128	540
676	1129	539
677	1131	537
678	1132	535
679	1133	533
680	1135	531
681	1136	529
682	1137	528
683	1141	527
684	1143	525
685	1144	523
686	1146	522
687	1147	520
688	1149	518
689	1150	516
690	1151	515
691	1154	513
692	1155	512
693	1157	510
694	1158	508
695	1159	506
696	1160	504
697	1162	502
698	1163	501
699	1164	499
700	1165	497
701	1168	496
702	1170	494
703	1171	492
704	1172	490
705	1174	489
706	1175	487
707	1177	485
708	1178	483
709	1180	482
710	1183	481
711	1185	479
712	1186	477
713	1187	475
714	1189	474
715	1190	472
716	1191	470
717	1193	468
718	1197	468
719	1199	466
720	1200	464
721	1202	462
722	1203	461
723	1205	459
724	1206	457
725	1208	455
726	1210	454
727	1212	452
728	1213	451
729	1215	449
730	1217	447
731	1218	446
732	1219	444
733	1221	442
734	1226	442
735	1227	440
736	1229	438
737	1230	437
738	1232	435
739	1233	433
740	1234	431
741	1235	429
742	1239	428
743	1240	427
744	1242	425
745	1244	423
746	1245	421
747	1247	420
748	1248	418
749	1252	417
750	1254	415
751	1255	414
752	1257	412
753	1259	410
754	1260	409
755	1261	407
756	1263	405
757	1265	403
758	1267	402
759	1268	400
760	1270	398
761	1271	397
762	1272	395
763	1273	393
764	1275	391
765	1276	389
766	1280	388
767	1281	387
768	1283	385
769	1285	383
770	1286	382
771	1288	380
772	1289	378
773	1290	376
774	1293	375
775	1295	373
776	1296	372
777	1298	370
778	1299	368
779	1300	366
780	1302	365
781	1303	363
782	1304	361
783	1306	360
784	1309	358
785	1310	356
786	1312	355
787	1313	353
788	1314	351
789	1316	349
790	1317	348
791	1318	346
792	1321	344
793	1323	343
794	1324	341
795	1326	339
796	1328	338
797	1329	336
798	1330	334
799	1332	333
800	1335	331
801	1336	330
802	1338	328
803	1339	326
804	1341	324
805	1342	323
806	1343	321
807	1345	319
808	1347	318
809	1349	316
810	1350	314
811	1352	313
812	1353	311
813	1354	309
814	1356	307
815	1357	306
816	1359	304
817	1361	302
818	1363	301
819	1364	299
820	1365	297
821	1367	296
822	1368	294
823	1370	292
824	1371	291
825	1373	289
826	1376	287
827	1377	286
828	1379	284
829	1381	282
830	1382	281
831	1384	279
832	1385	277
833	1388	276
834	1390	274
835	1392	273
836	1393	271
837	1395	269
838	1396	268
839	1397	266
840	1400	264
841	1403	263
842	1406	261
843	1408	260
844	1409	258
845	1411	256
846	1413	255
847	1415	253
848	1417	252
849	1419	250
850	1420	248
851	1422	247
